"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestInClass2(2,""b"")","windows-2025, net9.0, Debug","Thu Sep 04 20:31:24 UTC 2025","passed","Thu Sep 04 20:31:24 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","ubuntu-24.04, net8.0, Release","Thu Sep 04 20:31:06 UTC 2025","passed","Thu Sep 04 20:31:06 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-22.04, net8.0, Debug","Thu Sep 04 20:31:00 UTC 2025","passed","Thu Sep 04 20:31:00 UTC 2025","","","TestClass2","TestInClass2"
"","3","TestInClass1","windows-2022, net9.0, Release","Thu Sep 04 20:31:37 UTC 2025","passed","Thu Sep 04 20:31:37 UTC 2025","","","TestClass1","TestInClass1"
"","0","TestInClass2(1,""a"")","windows-2022, net9.0, Debug","Thu Sep 04 20:31:25 UTC 2025","passed","Thu Sep 04 20:31:25 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","windows-2022, net8.0, Release","Thu Sep 04 20:31:20 UTC 2025","passed","Thu Sep 04 20:31:20 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","windows-2022, net9.0, Release","Thu Sep 04 20:31:37 UTC 2025","passed","Thu Sep 04 20:31:37 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","windows-2025, net8.0, Release","Thu Sep 04 20:31:26 UTC 2025","passed","Thu Sep 04 20:31:26 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","windows-2022, net8.0, Release","Thu Sep 04 20:31:20 UTC 2025","passed","Thu Sep 04 20:31:20 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","ubuntu-24.04, net9.0, Release","Thu Sep 04 20:31:05 UTC 2025","passed","Thu Sep 04 20:31:05 UTC 2025","","","TestClass2","TestInClass2"
"","1","TestInClass2(2,""b"")","windows-2022, net8.0, Debug","Thu Sep 04 20:31:20 UTC 2025","passed","Thu Sep 04 20:31:20 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-24.04, net9.0, Release","Thu Sep 04 20:31:05 UTC 2025","passed","Thu Sep 04 20:31:05 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-22.04, net9.0, Release","Thu Sep 04 20:30:56 UTC 2025","passed","Thu Sep 04 20:30:56 UTC 2025","","","TestClass2","TestInClass2"
"","4","TestInClass1","windows-2022, net8.0, Release","Thu Sep 04 20:31:20 UTC 2025","passed","Thu Sep 04 20:31:20 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","ubuntu-22.04, net8.0, Release","Thu Sep 04 20:31:03 UTC 2025","passed","Thu Sep 04 20:31:03 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","ubuntu-24.04, net8.0, Debug","Thu Sep 04 20:31:00 UTC 2025","passed","Thu Sep 04 20:31:00 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","windows-2025, net8.0, Debug","Thu Sep 04 20:31:22 UTC 2025","passed","Thu Sep 04 20:31:22 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","ubuntu-22.04, net9.0, Release","Thu Sep 04 20:30:55 UTC 2025","passed","Thu Sep 04 20:30:55 UTC 2025","","","TestClass1","TestInClass1"
"","1","TestInClass2(1,""a"")","windows-2022, net8.0, Debug","Thu Sep 04 20:31:20 UTC 2025","passed","Thu Sep 04 20:31:20 UTC 2025","","","TestClass2","TestInClass2"
"","1","TestInClass2(1,""a"")","windows-2025, net9.0, Release","Thu Sep 04 20:31:46 UTC 2025","passed","Thu Sep 04 20:31:46 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","windows-2025, net9.0, Release","Thu Sep 04 20:31:46 UTC 2025","passed","Thu Sep 04 20:31:46 UTC 2025","","","TestClass2","TestInClass2"
